star,shop_url,comment_id,support_num,shop_name,content,shop_id,shop_kind,time,user_id
40,http://www.dianping.com/shop/66533377,347213656,(4),一叶一世界藏茶素食火锅,工作日晚餐，去时店里刚好客满，稍作犹豫接受了拼桌的安排，与另一对客人共享一张六人桌；好在桌子足够大倒也相安无事了。店里是传统风格又捎带了些西藏元素，但餐桌又是石英石台面的混搭，总体不算突兀但未及心中所应有的静谧。服务生衣着飘飘，言谈有礼且积极到位，但大概是人多的关系，上菜还不算很快；可以通过桌上的小设备远程呼叫服务，这点还是挺方便的。点菜是通过iPad，不知道是不是成了素菜馆的标配了，界面依旧有些丑，交互也算不上便利，风格与时下流行有所脱节，也缺少一些对菜品的详细描述。口味偏淡雅一些，或许是因全素的关系，绝无油脂所能带来的放肆的香气，而犹如汤底的藏茶那般沉稳而内敛，裹挟着菌菇与蔬菜的几缕清甜与鲜香，是清风似地隐忍与克制，非大众通常所喜好的火锅口味。#野菌汤锅# 菌菇很多，但都不太认识，味道都不错，山珍所带来的是相比酸辣汤底更浓郁的鲜味。#酸辣汤锅# 开始时比较淡，其后辣而少酸，相比野菌汤要平淡许多。#猴头菇# 熬煮之后肉质细滑又有些肥厚，细嚼有丝丝纤维感，非常美味。#竹轮# 大概原料和魔芋有点关系，比普通魔芋少了些弹，但多了些硬韧，还可以。#养心黑木耳糕# 面筋弹软，间有黑木耳的清脆，口感层次丰富，尝时有香气沁入脾胃，叫人食欲大增，真不输鲜肉。#素丸子# 相比肉丸更软而无力一些，但吃时丝丝相连，绵软中又带了几分劲道，精心调味之下恍如吃肉。#竹笋蛋片# 之前没吃过，煮时间不足的话，吃起来比较干硬，但若是耐心多等待一些时候，则表面覆上一层仿佛龙眼般的爽滑，吃起来又略有脆感，比较新奇但个人不是很喜欢。#娃娃菜# 煮久了都不肯酥烂，也不太能吸收汤汁，脆硬得很，不知是好是坏。酱料选择不少，味道也是出奇得不错，可惜用来打的勺子小得可怜，很不方便。光盘会奖励3片小叶子，集齐5张可以兑换优惠，这点倒是不错；结算时有推荐会员及充值，可惜我浪迹这都市霓虹，未曾留恋那一盏孤灯，也就此作罢了。,66533377,小火锅,05-10,20944611
40,http://www.dianping.com/shop/66533377,350943292,(2),一叶一世界藏茶素食火锅,【313】光盘有书签，集齐五张有优惠还是怎么滴，不记得了。申请了会员，充了300，有折扣。可惜很难有单纯的如素食坊，总会多少带点周边销售，大抵用来维持运营吧。环境很喜欢，都是包房格局，都带充电口，可以保证私密性，聊天可以很放肆。锅底都带中药包，孕妇不能吃哟。爱情扎萨是每桌必点，为什么呢，不点吃不饱呀呵呵哒。看着量不大，吃完也是很撑的。挺干净，服务也不错，都是细声细气，就是推车过往声音略大。建议调料只用酱油醋，清淡口。,66533377,小火锅,06-02,29975
50,http://www.dianping.com/shop/66533377,349363518,(0),一叶一世界藏茶素食火锅,幸运的第一次抽中试吃啦，好开心~小伙伴们都很nice，一次非常愉快的体验。#交通#2号线1号口出来，1788广场蛮好找的，手扶电梯到3楼就在眼前啦。#环境#非常有素食店的气氛，很宁静的感觉#服务#全程服务都很贴心，会帮我们介绍每样东西的名字，效用，还有建议煮的时间。#爱情扎萨#外形有点像肉夹馍，哈哈，现烤的，饼皮是青稞，味道非常好，脆脆的，里面有生菜和素火腿，非常好吃#次第花开#有点像云南鲜花饼，甜甜的，外皮酥酥的，甜食也是我的菜哇#养心黑木耳膏#非常精致，蛮特别的，好吃~#果香锅底#有点稍稍果酸味，重点是吃完出去身上一点火锅的味道都没有，不要太赞#猴菇香积贡丸#非***道，丝丝相扣，大家公认好吃!#西瓜汁#蛮纯正的，好喝~。对了还有最开始的果茶，也是棒棒哒!最后，感谢点评给了这么棒的试吃体验，还有本次带队的小队长，人太好啦，一行小伙伴都很棒~O(∩_∩)O,66533377,小火锅,05-23,353465380
50,http://www.dianping.com/shop/66533377,351165303,(2),一叶一世界藏茶素食火锅,同事推荐我的吃素火锅店，抱着好奇心拉着老公来尝鲜。到店已经超过两点，还是有不少客人。这是一个让人心很静的地方，很有佛味儿。服务很好，我们点了一个除湿安神药膳锅，一个消暑金桔柠檬锅，选了秘制酱料，还点了爱情扎萨，海苔豆腐，魔芋结，素鲜虾仁，点的不多但是也并不便宜。魔芋结就和别家火锅店一样，没啥特色。比较喜欢吃海苔豆腐，有嚼劲，还有爱情扎萨，点了一份，店员给一分为二，这个吃吃够了，不然太饱。调料费略贵。总得来说挺不错的，适合喜欢安静的人呆的地方。,66533377,小火锅,06-03,2052284
30,http://www.dianping.com/shop/66533377,347508519,(1),一叶一世界藏茶素食火锅,一家全素的火锅。锅底用的是藏茶，茶壶里的茶水即能直接喝又能加在锅里。我并不是素食主义，只是偶尔看到有意思的素食店会来尝试，这边也是采用ipad点餐，我吃过的三家素食都是pad，难道这也成了素菜馆子的标配？看了一圈全是素的有点无从下手，菜品种类倒也算新颖，有好些不常出现在火锅配菜表中的食物，还有店家自制的一些仿荤菜。每一份盘子都不大，点了六份菜，最后居然吃撑了？不敢相信。本来还想着饭后去补点肉食呢！【野菌汤锅】推荐。应该是料最多的一个锅底了，汤头特别鲜，但并不咸。虽然看得见茶包，但不会喝出明显的茶味。整体还是比较清淡的。菌菇都很好吃，大部分都叫不出名，还有洋蓟和番茄。洋蓟是第一次吃，片片包裹好像花朵一般，口感不错，但煮久了会碎。【酸辣汤锅】配料除了茶包就只有几片芥菜头酸菜，辣椒几个，柠檬一片。刚开始锅里的酸味辣味都很淡，煮久了以后酸味辣味才渐渐散发出来。和想象中重口味的酸辣汤完全不同，毕竟这边都以清淡为主嘛。【味碟】调料可以选默认，或者自己去配。开始要了一碗默认，质地浓稠需要加入一些汤才好。放了些花生末和干黄豆脆脆的口感，还不错。但我认为还是自己调的更好吃啦。除了秘制调料，我还加了花生芝...一家全素的火锅。锅底用的是藏茶，茶壶里的茶水即能直接喝又能加在锅里。我并不是素食主义，只是偶尔看到有意思的素食店会来尝试，这边也是采用ipad点餐，我吃过的三家素食都是pad，难道这也成了素菜馆子的标配？看了一圈全是素的有点无从下手，菜品种类倒也算新颖，有好些不常出现在火锅配菜表中的食物，还有店家自制的一些仿荤菜。每一份盘子都不大，点了六份菜，最后居然吃撑了？不敢相信。本来还想着饭后去补点肉食呢！【野菌汤锅】推荐。应该是料最多的一个锅底了，汤头特别鲜，但并不咸。虽然看得见茶包，但不会喝出明显的茶味。整体还是比较清淡的。菌菇都很好吃，大部分都叫不出名，还有洋蓟和番茄。洋蓟是第一次吃，片片包裹好像花朵一般，口感不错，但煮久了会碎。【酸辣汤锅】配料除了茶包就只有几片芥菜头酸菜，辣椒几个，柠檬一片。刚开始锅里的酸味辣味都很淡，煮久了以后酸味辣味才渐渐散发出来。和想象中重口味的酸辣汤完全不同，毕竟这边都以清淡为主嘛。【味碟】调料可以选默认，或者自己去配。开始要了一碗默认，质地浓稠需要加入一些汤才好。放了些花生末和干黄豆脆脆的口感，还不错。但我认为还是自己调的更好吃啦。除了秘制调料，我还加了花生芝麻酱，以及一些辣椒，总体口味很香，但不咸，伴着花生黄豆香菜直接吃也不成问题。只是打调料的小勺子实在太小了，可能是店家怕大家浪费，但是对我这种吃调料星人来说不太友好。打了5次调料还吃完了这种事我会说吗。【竹笋蛋片】推荐。第一次吃，不知道是什么，反正应该是菌类吧。去查百度出来的全是竹荪蛋，并不是一种东西啊？煮的时间短些的话口感比较脆，时间长了会很滑嫩，很好吃。 【猴头菇】推荐。不明白猴头菇这么好吃的东西，为什么平时很少会吃到呢？虽然是比一般的菌类贵些，但一盘30+的价格也还能接受啊。况且样子毛茸茸的还特别可爱。绒毛呈丝状，吃起来口感很细腻，喜欢。【养心黑木耳糕】加入了木耳的面筋块，木耳脆脆的口感和面筋微弹的口感正好相互补充，还不错。【素丸子】看起来可以以假乱真呢。一吃发现是切成丝的素鸭打成的丸子，豆制品味道比较重，离能吃出肉味还是有差距的。【竹轮】以为是面粉制品，其实口感比较硬，没有弹性，很实，可能是魔芋一类的东西？颜色估计来自胡萝卜，吃出了胡萝卜味。这个不太喜欢。【娃娃菜】很难煮烂。这是算好还是不好呢？这家店的汤底和调料都是偏清淡的，走的是健康路线，好在调料区有辣椒可以加，不会觉得太寡淡。虽然没有吃肉，但也吃的饱饱的。饭后光盘会奖励3片叶子，集齐5片可以兑换套餐一份。这一点非常值得提倡，因为我真的很讨厌浪费，如果不是难吃到一定境界，绝不会剩，不小心点多了也会打包。作为一个吃货怎么能忍受食物被浪费呢！希望更多的店家推出光盘奖励，鼓励大家适量点菜~,66533377,小火锅,05-12,21850681
50,http://www.dianping.com/shop/66533377,350929005,(2),一叶一世界藏茶素食火锅,【补评】静安寺一家全素火锅，开店也快一年了，布置十分有宁静有禅意，喜欢这种独立格局的用餐环境。尽量提前预定，饭点或者初一十五可能要拼桌长队。锅底全部是藏茶，有茶包，所以不用担心上火，而且特别清香，身上不会留味道，适合肉吃多了来清清口。有自制料理台，不过酱料不多，主要还是品尝食材原来的鲜味。特别推荐爱情扎萨和素丸子。有点像肉夹馍哈哈哈，个儿不算大，花椒油调味，给嘴巴淡出鸟的我点亮了一盏明灯。素丸子是豆制品做的，外皮炸透，口感很实，调味浓。其他素肉一般。整体食材都很新鲜，菌菇类品种丰富,66533377,小火锅,06-02  更新于17-06-04 05:57,9648672
50,http://www.dianping.com/shop/66533377,350737595,(0),一叶一世界藏茶素食火锅,與朋友一起聚餐，選擇了素食，就選了一葉一世界。餐廳內雅緻，環境和裝點都好精緻。上菜很快，菜品很好吃，個人喜歡素蝦仁💓【佛言佛语】修心就是每天积累一点功德，每一次在逆境中和烦恼当中战胜自己的欲望，得到一种驾驭自心的能力和经验。。結帳時店內給光盤的顧客贈送惜福卡。感恩🙏素食給我們帶來愉悅的體驗和美妙的晚餐。,66533377,小火锅,05-31,33140769
40,http://www.dianping.com/shop/66533377,344785014,(4),一叶一世界藏茶素食火锅,在静安寺觅食，下雨天。临时在点评上找了一个素火锅团购，看着很那么回事的全素火锅。穿过地铁站出来的1788大厦商场其实就是个吃饭的楼，晚上冷冷清清的。进火锅店门，生意还不错，不过没有预约还是有座。店里的装修别具一格，朴素而别致。火锅呢是每人份的小火锅，一人一个电磁炉。菜单翻了一下，除了是藏茶做锅底之外也看不出什么特色，于是还是选了团购的双人套餐。没想到，LG没有吃饱，这团购餐居然吃不饱的……加菜也不知道加什么，还好买了网红奶酪包，把他塞饱了。说说菜吧～原汤锅底～特别的藏茶锅底，石锅里丢了一个大茶包，汤里有红枣枸杞等让人觉得好养生。给喝的也是藏茶，一个茶壶里装的可以添茶也可以給锅里添汤，不用招呼服务员了～素鲜虾仁～应该是豆腐做的，除了看着像虾仁，味道一点不像啊，甚至作为豆腐也不好吃～爱情杂萨～大概就是这个素的肉夹馍，看着是那么回事哦，里面是生菜素肠，素肠口感有点肉的感觉，不过这馍不沾调料淡了点。～喜袋～说是没有，給换了一个素馄饨，馅是香菇的，还挺好吃。～虫草菌～下锅煮比较好吃～桃花泪～甜品，其实是桃花胶，淡淡的甜味，希望是没有加凝胶然后是年糕茼蒿老豆腐，涮着好吃口味总体还行，就是这团购两女生吃还行，男生真心吃不饱。,66533377,小火锅,04-26  更新于17-04-26 20:22,25498967
50,http://www.dianping.com/shop/66533377,349643316,(1),一叶一世界藏茶素食火锅,在附近看完电影，这家店人气很高，就决定来吃吃看。将近晚上六点左右到店，果然只剩一桌了，还是和别人拼的桌。    素菜馆子的环境好像老是给人一种比较有禅意的感觉，反正我是不懂😑。团购了套餐，选的原味锅底，就是可以直接喝的藏茶。喜袋没有了，就换成了素排骨，还是挺逼真的。那个做成虾样子的很有弹性，有些清香。藏茶没有咸味，菜烫熟后蘸酱吃口味正好。扎萨就像是素的夹馍。甜品也是偏清淡的风格。从来没有吃火锅吃的这么养生...,66533377,小火锅,05-25,4435629
50,http://www.dianping.com/shop/66533377,344785866,(4),一叶一世界藏茶素食火锅,又到了半月一度吃素时刻，一直找口碑佳，评价好的素餐馆是一件比较困难的事，这次来到了一叶一世界。之前就对此店就有所耳闻，曾想来这里，这次正好有空就过来用餐了。选用了这里的双人套餐，份量不算很足，我们两个又加了一份香积丸子(32)和一份单人野菌饭，刚刚好。套餐(142)里东西都还算不错，品质都可以，特别是福袋和虫草菌，烫熟后蘸一点他们自制调料（微微辣，有点椒麻口感，配点花生芝麻酱，花生碎，香菜，赞），真是美味！单点的野菌饭(12)也是值得推荐的一道菜，虽然量不大，味道比蚝油牛肉饭还要好吃！东西好吃，服务又很周到，是一家打算办会员卡的餐厅！值得推荐。,66533377,小火锅,04-26,3878336
